2016-01-01 24,2000 25,7069
2016-03-23 25,7000 26,5957
2016-03-24 25,7000 26,5957
2016-03-25 25,7000 26,5957
2016-03-26 No DATA
2016-03-27 No DATA
2016-03-28 25,6000 26,5957
2016-03-29 25,6000 26,5957
2016-03-30 25,6000 26,5957
2016-03-31 25,6000 26,3852
2016-04-01 25,5000 26,3852
2016-04-02 No DATA
2016-04-03 No DATA
2016-04-04 25,3000 26,2467
2016-04-05 25,3000 26,1097
2016-04-06 25,3000 26,0417
2016-04-07 25,2000 25,9740
2016-04-08 25,0000 25,6410
2016-04-09 No DATA
2016-04-10 No DATA
2016-04-11 25,0000 25,9067
2016-04-12 25,1000 25,9067
2016-04-13 25,2000 25,7732
2016-04-14 25,2000 25,8398
2016-04-15 25,2000 25,7732
2016-04-16 No DATA
2016-04-17 No DATA
2016-04-18 25,0000 25,6410
2016-04-19 25,0000 25,6410
2016-04-20 25,0000 25,5754
2016-04-21 24,9000 25,5102
2016-04-22 24,8000 25,3807
2016-04-23 No DATA
2016-04-24 No DATA
2016-04-25 24,8000 25,3807
2016-04-26 24,7000 25,3165
2016-04-27 24,6000 25,1889
2016-04-28 24,5000 25,1889
2016-04-29 24,6000 25,3165
2016-04-30 No DATA
2016-05-01 No DATA
2016-05-02 24,6000 25,3165
2016-05-03 24,6000 25,3165
2016-05-04 24,7000 25,2525
2016-05-05 24,7000 25,2525
2016-05-06 24,7000 25,2525
2016-05-07 No DATA
2016-05-08 No DATA
2016-05-09 24,7000 25,2525
2016-05-10 24,7000 25,2525
2016-05-11 24,7000 25,2525
2016-05-12 24,8000 25,3807
2016-05-13 24,8000 25,3807
2016-05-14 No DATA
2016-05-15 No DATA
2016-05-16 25,1500 25,3807
2016-05-17 25,1800 25,3807
2016-05-18 25,1200 25,3165
2016-05-19 25,1500 25,3165
2016-05-20 25,1000 25,2525
2016-05-21 No DATA
2016-05-22 No DATA
2016-05-23 25,1000 25,2525
2016-05-24 25,0500 25,1889
2016-05-25 25,0500 25,1889
2016-05-26 25,0000 25,1889
2016-05-27 25,0000 25,1889
2016-05-28 No DATA
2016-05-29 No DATA
2016-05-30 25,0000 25,1889
2016-05-31 25,0000 25,1889
2016-06-01 25,0000 25,1889
2016-06-02 24,9500 25,1256
2016-06-03 24,9000 25,0627
2016-06-04 No DATA
2016-06-05 No DATA
2016-06-06 24,8500 25,0000
2016-06-07 24,7500 25,0000
2016-06-08 24,8000 24,9377
2016-06-09 24,8500 25,0627
2016-06-10 24,9000 25,0627
2016-06-11 No DATA
2016-06-12 No DATA
2016-06-13 24,8500 25,0000
2016-06-14 24,8000 24,9377
2016-06-15 24,8000 24,9377
2016-06-16 24,8000 25,0000
2016-06-17 24,8000 24,9377
2016-06-18 No DATA
2016-06-19 No DATA
2016-06-20 24,8000 24,9377
2016-06-21 24,8000 24,9377
2016-06-22 24,7500 24,9377
2016-06-23 24,7500 24,9377
2016-06-24 24,7000 24,9377
2016-06-25 No DATA
2016-06-26 No DATA
2016-06-27 24,7000 24,9377
2016-06-28 24,7000 24,9377
2016-06-29 24,7000 24,9377
2016-06-30 24,6500 24,8139
2016-07-01 24,6300 24,8139
2016-07-02 No DATA
2016-07-03 No DATA
2016-07-04 24,6200 24,8139
2016-07-05 24,6200 24,8139
2016-07-06 24,6200 24,8139
2016-07-07 24,6500 24,8139
2016-07-08 24,6800 24,8756
2016-07-09 No DATA
2016-07-10 No DATA
2016-07-11 24,7000 24,8756
2016-07-12 24,7000 24,8756
2016-07-13 24,6500 24,8139
2016-07-14 24,6500 24,8139
2016-07-15 24,6500 24,8139
2016-07-16 No DATA
2016-07-17 No DATA
2016-07-18 24,6800 24,8139
2016-07-19 24,7000 24,8756
2016-07-20 24,7000 24,8756
2016-07-21 24,7500 24,9377
2016-07-22 24,7000 24,8756
2016-07-23 No DATA
2016-07-24 No DATA
2016-07-25 24,7000 24,8756
2016-07-26 24,7000 24,8756
2016-07-27 24,7000 24,8756
2016-07-28 24,7500 25,1256
2016-07-29 24,7500 25,0627
2016-07-30 No DATA
2016-07-31 No DATA
2016-08-01 24,7300 25,0627
2016-08-02 24,7300 25,0627
2016-08-03 24,7300 25,0627
2016-08-04 24,7300 25,1256
2016-08-05 24,7300 25,0627
2016-08-06 No DATA
2016-08-07 No DATA
2016-08-08 24,7300 25,0627
2016-08-09 24,7300 25,0627
2016-08-10 24,7300 25,0627
2016-08-11 24,7300 25,0627
2016-08-12 24,8000 25,3807
2016-08-13 No DATA
2016-08-14 No DATA
2016-08-15 24,9000 25,5102
2016-08-16 25,0000 25,5754
2016-08-17 25,0000 25,6410
2016-08-18 25,0000 25,6410
2016-08-19 25,3000 25,7732
2016-08-20 No DATA
2016-08-21 No DATA
2016-08-22 25,5000 25,9067
2016-08-23 25,4000 25,9067
2016-08-24 25,4000 25,9067
2016-08-25 25,4000 25,9067
2016-08-26 25,4000 25,9067
2016-08-27 No DATA
2016-08-28 No DATA
2016-08-29 25,4000 25,9067
2016-08-30 25,3000 25,7732
2016-08-31 25,9000 26,2467
2016-09-01 26,2000 26,4550
2016-09-02 26,4000 26,5957
2016-09-03 No DATA
2016-09-04 No DATA
2016-09-05 26,4500 26,6667
2016-09-06 26,6000 26,8097
2016-09-07 26,6000 26,8097
2016-09-08 26,5000 26,7380
2016-09-09 26,5000 26,7380
2016-09-10 No DATA
2016-09-11 No DATA
2016-09-12 26,4500 26,6667
2016-09-13 26,2000 26,4550
2016-09-14 26,1500 26,3852
2016-09-15 25,9000 26,1097
2016-09-16 25,7000 26,0417
2016-09-17 No DATA
2016-09-18 No DATA
2016-09-19 25,6000 25,9067
2016-09-20 25,7500 26,0417
2016-09-21 25,9000 26,1097
2016-09-22 25,9000 26,1097
2016-09-23 25,9500 26,1780
2016-09-24 No DATA
2016-09-25 No DATA
2016-09-26 25,9000 26,1097
2016-09-27 25,7500 25,9740
2016-09-28 25,9000 26,1097
2016-09-29 25,9000 26,1097
2016-09-30 25,9000 26,1097
2016-10-01 No DATA
2016-10-02 No DATA
2016-10-03 25,9000 26,1097
2016-10-04 25,8000 26,0417
2016-10-05 25,8000 26,0417
2016-10-06 25,8500 26,0417
2016-10-07 25,7500 25,9740
2016-10-08 No DATA
2016-10-09 No DATA
2016-10-10 25,8000 26,0417
2016-10-11 25,8000 26,0417
2016-10-12 25,8000 26,0417
2016-10-13 25,8000 26,1097
2016-10-14 25,8000 26,1097
2016-10-15 No DATA
2016-10-16 No DATA
2016-10-17 25,8000 26,1097
2016-10-18 25,6500 25,9740
2016-10-19 25,7500 26,0417
2016-10-20 25,7500 26,0417
2016-10-21 25,6500 25,9740
2016-10-22 No DATA
2016-10-23 No DATA
2016-10-24 25,6000 25,9067
2016-10-25 25,5000 26,0417
2016-10-26 25,5000 26,0417
2016-10-27 25,7000 26,0417
2016-10-28 25,7000 26,0417
2016-10-29 No DATA
2016-10-30 No DATA
2016-10-31 25,7000 26,0417
2016-11-01 25,7000 26,1780
2016-11-02 25,9000 26,2467
2016-11-03 25,9000 26,2467
2016-11-04 25,9000 26,2467
2016-11-05 No DATA
2016-11-06 No DATA
2016-11-07 26,0000 26,3158
2016-11-08 26,0500 26,3852
2016-11-09 26,1000 26,4550
2016-11-10 26,1000 26,4550
2016-11-11 26,2000 26,5957
2016-11-12 No DATA
2016-11-13 No DATA
2016-11-14 26,4000 27,0270
2016-11-15 26,6000 27,0270
2016-11-16 26,7000 27,5482
2016-11-17 26,6000 27,3973
2016-11-18 26,6000 27,0270
2016-11-19 No DATA
2016-11-20 No DATA
2016-11-21 26,7000 27,1003
2016-11-22 26,7000 27,1003
2016-11-23 26,6000 27,0270
2016-11-24 26,6000 27,0270
2016-11-25 26,6000 27,0270
2016-11-26 No DATA
2016-11-27 No DATA
2016-11-28 26,7000 27,1003
2016-11-29 26,7000 27,1003
2016-11-30 26,7000 27,1003
2016-12-01 26,5000 26,9542
2016-12-02 26,5000 26,9542
2016-12-03 No DATA
2016-12-04 No DATA
2016-12-05 26,7000 27,1003
2016-12-06 26,7000 27,1003
2016-12-07 26,5000 26,9542
2016-12-08 26,4000 26,8097
2016-12-09 26,6000 27,1003
2016-12-10 No DATA
2016-12-11 No DATA
2016-12-12 26,6000 27,0270
2016-12-13 26,6000 27,0270
2016-12-14 26,6000 27,1739
2016-12-15 26,3000 27,2480
2016-12-16 26,3000 27,1739
2016-12-17 No DATA
2016-12-18 No DATA
2016-12-19 26,0000 27,4725
2016-12-20 26,2000 27,6243
2016-12-21 26,2000 27,6243
2016-12-22 26,4000 27,2480
2016-12-23 26,4000 27,2480
2016-12-24 No DATA
2016-12-25 No DATA
2016-12-26 26,2000 27,2480
2016-12-27 26,2000 27,3224
2016-12-28 26,2000 27,7008
2016-12-29 26,2000 27,7008
2016-12-30 26,5000 28,0112
2016-12-31 No DATA
2017-01-01 No DATA
2017-01-02 26,5000 28,0112
2017-01-03 26,5000 28,0112
2017-01-04 26,7000 27,8552
2017-01-05 26,7000 27,8552
2017-01-06 26,9000 28,0899
2017-01-07 No DATA
2017-01-08 No DATA
2017-01-09 26,9000 28,0899
2017-01-10 26,9000 28,0899
2017-01-11 27,0000 28,4900
2017-01-12 27,0000 28,7356
2017-01-13 27,0000 29,1545
2017-01-14 No DATA
2017-01-15 No DATA
2017-01-16 27,0000 29,1545
2017-01-17 27,5000 29,1545
2017-01-18 27,5000 28,9017
2017-01-19 27,5000 28,9017
2017-01-20 27,5000 28,9017
2017-01-21 No DATA
2017-01-22 No DATA
2017-01-23 27,2000 28,7356
2017-01-24 27,0000 28,7356
2017-01-25 27,0000 28,7356
2017-01-26 27,0000 28,7356
2017-01-27 27,0000 28,5714
2017-01-28 No DATA
2017-01-29 No DATA
2017-01-30 27,0000 28,3286
2017-01-31 26,8000 28,0112
2017-02-01 26,8000 28,0112
2017-02-02 26,7000 28,0112
2017-02-03 27,3000 28,0112
2017-02-04 No DATA
2017-02-05 No DATA
2017-02-06 27,3000 28,0112
2017-02-07 27,3000 28,0112
2017-02-08 27,3000 28,0112
2017-02-09 27,3000 28,0112
2017-02-10 27,3000 28,0112
2017-02-11 No DATA
2017-02-12 No DATA
2017-02-13 27,3000 27,7008
2017-02-14 27,2000 27,6243
2017-02-15 27,1500 27,6243
2017-02-16 27,1500 27,6243
2017-02-17 27,1500 27,6243
2017-02-18 No DATA
2017-02-19 No DATA
2017-02-20 27,1000 27,4725
2017-02-21 27,1000 27,4725
2017-02-22 27,0000 27,3973
2017-02-23 26,9700 27,3973
2017-02-24 26,9000 27,3224
2017-02-25 No DATA
2017-02-26 No DATA
2017-02-27 26,9000 27,3224
2017-02-28 27,0000 27,3973
2017-03-01 27,0500 27,4725
2017-03-02 27,0500 27,4725
2017-03-03 27,0000 27,3973
2017-03-04 No DATA
2017-03-05 No DATA
2017-03-06 26,9500 27,3973
2017-03-07 26,9000 27,3224
2017-03-08 26,9000 27,3224
2017-03-09 26,8000 27,2480
2017-03-10 26,8000 27,2480
2017-03-11 No DATA
2017-03-12 No DATA
2017-03-13 26,8500 27,2480
2017-03-14 26,8500 27,2480
2017-03-15 26,9000 27,3224
2017-03-16 26,9000 27,3224
2017-03-17 26,9000 27,3224
2017-03-18 No DATA
2017-03-19 No DATA
2017-03-20 26,9000 27,3224
2017-03-21 26,8500 27,2480
2017-03-22 26,8500 27,2480
2017-03-23 26,9500 27,3224
2017-03-24 26,9500 27,3224
2017-03-25 No DATA
2017-03-26 No DATA
2017-03-27 27,0200 27,3224
2017-03-28 27,0000 27,3224
2017-03-29 26,9000 27,2480
2017-03-30 26,9000 27,1739
2017-03-31 26,8500 27,1739
2017-04-01 No DATA
2017-04-02 No DATA
2017-04-03 26,8000 27,1003
2017-04-04 26,8000 27,1739
2017-04-05 26,9300 27,1739
2017-04-06 26,8500 27,1739
2017-04-07 26,8000 27,1003
2017-04-08 No DATA
2017-04-09 No DATA
2017-04-10 26,7500 27,1003
2017-04-11 26,7500 27,1003
2017-04-12 26,7300 27,0270
2017-04-13 26,6500 26,9542
2017-04-14 26,6500 26,9542
2017-04-15 No DATA
2017-04-16 No DATA
2017-04-17 26,6500 26,9542
2017-04-18 26,6500 26,9542
2017-04-19 26,6000 26,9542
2017-04-20 26,6000 26,9542
2017-04-21 26,5500 26,8817
2017-04-22 No DATA
2017-04-23 No DATA
2017-04-24 26,4500 26,8097
2017-04-25 26,3500 26,7380
2017-04-26 26,2500 26,6667
2017-04-27 26,2200 26,6667
2017-04-28 26,3000 26,5957
2017-04-29 No DATA
2017-04-30 No DATA
2017-05-01 26,3000 26,5957
2017-05-02 26,3000 26,5957
2017-05-03 26,1500 26,5252
2017-05-04 26,2000 26,5252
2017-05-05 26,2000 26,5252
2017-05-06 No DATA
2017-05-07 No DATA
2017-05-08 26,2000 26,5252
2017-05-09 26,2000 26,5252
2017-05-10 26,1500 26,4550
2017-05-11 26,2000 26,5252
2017-05-12 26,2500 26,5957
2017-05-13 No DATA
2017-05-14 No DATA
2017-05-15 26,2500 26,5957
2017-05-16 26,2500 26,5957
2017-05-17 26,2500 26,5957
2017-05-18 26,2200 26,5252
2017-05-19 26,2200 26,5252
2017-05-20 No DATA
2017-05-21 No DATA
2017-05-22 26,1500 26,4550
2017-05-23 26,1200 26,4550
2017-05-24 26,1000 26,4550
2017-05-25 26,1000 26,4550
2017-05-26 26,1500 26,4550
2017-05-27 No DATA
2017-05-28 No DATA
2017-05-29 26,1500 26,4550
2017-05-30 26,1500 26,4550
2017-05-31 26,1500 26,4550
2017-06-01 26,1000 26,4550
2017-06-02 26,1000 26,4550
2017-06-03 No DATA
2017-06-04 No DATA
2017-06-05 26,1000 26,4550
2017-06-06 26,0700 26,3852
2017-06-07 26,0500 26,3852
2017-06-08 25,9000 26,2467
2017-06-09 25,9000 26,3158
2017-06-10 No DATA
2017-06-11 No DATA
2017-06-12 25,9000 26,3158
2017-06-13 25,8500 26,1780
2017-06-14 25,8500 26,1780
2017-06-15 25,8500 26,1780
2017-06-16 25,8700 26,1780
2017-06-17 No DATA
2017-06-18 No DATA
2017-06-19 25,8900 26,2467
2017-06-20 25,9000 26,2467
2017-06-21 25,9000 26,2467
2017-06-22 25,9000 26,2467
2017-06-23 25,8500 26,2467
2017-06-24 No DATA
2017-06-25 No DATA
2017-06-26 25,8500 26,2467
2017-06-27 25,9000 26,2467
2017-06-28 25,9000 26,2467
2017-06-29 25,8500 26,2467
2017-06-30 25,8000 26,2467
2017-07-01 No DATA
2017-07-02 No DATA
2017-07-03 25,7500 26,1780
2017-07-04 25,7500 26,1780
2017-07-05 25,8000 26,1780
2017-07-06 25,8000 26,1780
2017-07-07 25,8000 26,1780
2017-07-08 No DATA
2017-07-09 No DATA
2017-07-10 25,8000 26,1780
2017-07-11 25,8000 26,1780
2017-07-12 25,8000 26,1780
2017-07-13 25,8000 26,1780
2017-07-14 25,8000 26,1780
2017-07-15 No DATA
2017-07-16 No DATA
2017-07-17 25,7500 26,1097
2017-07-18 25,7500 26,1097
2017-07-19 25,7500 26,1097
2017-07-20 25,7500 26,1097
2017-07-21 25,7500 26,1097
2017-07-22 No DATA
2017-07-23 No DATA
2017-07-24 25,7000 26,1097
2017-07-25 25,6500 26,0417
2017-07-26 25,7000 26,1097
2017-07-27 25,7000 26,0417
2017-07-28 25,7500 26,0417
2017-07-29 No DATA
2017-07-30 No DATA
2017-07-31 25,7000 26,0417
2017-08-01 25,7000 26,0417
2017-08-02 25,7300 26,0417
2017-08-03 25,7300 26,0417
2017-08-04 25,6800 26,0417
2017-08-05 No DATA
2017-08-06 No DATA
2017-08-07 25,6500 25,9740
2017-08-08 25,6000 25,9067
2017-08-09 25,5800 25,9067
2017-08-10 25,5500 25,9067
2017-08-11 25,5500 25,9067
2017-08-12 No DATA
2017-08-13 No DATA
2017-08-14 25,5000 25,8398
2017-08-15 25,4700 25,7732
2017-08-16 25,4500 25,7732
2017-08-17 25,3800 25,7069
2017-08-18 25,3000 25,5754
2017-08-19 No DATA
2017-08-20 No DATA
2017-08-21 25,3000 25,5754
2017-08-22 25,3000 25,6410
2017-08-23 25,4000 25,7069
2017-08-24 25,4000 25,7069
2017-08-25 25,4000 25,7069
2017-08-26 No DATA
2017-08-27 No DATA
2017-08-28 25,3500 25,7069
2017-08-29 25,3000 25,6410
2017-08-30 25,4000 25,7069
2017-08-31 25,4500 25,7732
2017-09-01 25,6000 26,0417
2017-09-02 No DATA
2017-09-03 No DATA
2017-09-04 25,7000 26,2467
2017-09-05 25,8000 26,2467
2017-09-06 26,0000 26,5252
2017-09-07 26,0500 26,5252
2017-09-08 25,9000 26,4550
2017-09-09 No DATA
2017-09-10 No DATA
2017-09-11 25,9000 26,4550
2017-09-12 25,8000 26,3158
2017-09-13 26,0000 26,3158
2017-09-14 26,0000 26,4550
2017-09-15 26,1000 26,4550
2017-09-16 No DATA
2017-09-17 No DATA
2017-09-18 26,1000 26,4550
2017-09-19 26,0500 26,3158
2017-09-20 26,1000 26,3158
2017-09-21 26,2000 26,4550
2017-09-22 26,1800 26,4550
2017-09-23 No DATA
2017-09-24 No DATA
2017-09-25 26,1800 26,4550
2017-09-26 26,2200 26,4550
2017-09-27 26,3000 26,5957
2017-09-28 26,3500 26,5957
2017-09-29 26,4000 26,5957
2017-09-30 No DATA
2017-10-01 No DATA
2017-10-02 26,4500 26,6667
2017-10-03 26,7000 27,1003
2017-10-04 26,7500 27,2480
2017-10-05 26,8000 27,1739
2017-10-06 26,5000 27,0270
2017-10-07 No DATA
2017-10-08 No DATA
2017-10-09 26,6000 26,9542
2017-10-10 26,5000 27,0270
2017-10-11 26,5000 26,9542
2017-10-12 26,4000 26,9542
2017-10-13 26,4000 26,9542
2017-10-14 No DATA
2017-10-15 No DATA
2017-10-16 26,4000 26,9542
2017-10-17 26,3500 26,8817
2017-10-18 26,3000 26,8097
2017-10-19 26,3000 26,8097
2017-10-20 26,3000 26,8097
2017-10-21 No DATA
2017-10-22 No DATA
2017-10-23 26,3000 26,8097
2017-10-24 26,3000 26,8097
2017-10-25 26,4000 26,9542
2017-10-26 26,4000 26,9542
2017-10-27 26,7000 26,9542
2017-10-28 No DATA
2017-10-29 No DATA
2017-10-30 26,7000 26,9542
2017-10-31 26,7000 26,9542
2017-11-01 26,7500 27,0270
2017-11-02 26,8000 27,1003
2017-11-03 26,8000 27,1003
2017-11-04 No DATA
2017-11-05 No DATA
2017-11-06 26,7500 27,0270
2017-11-07 26,7000 26,9542
2017-11-08 26,6500 26,9542
2017-11-09 26,6000 26,8817
2017-11-10 26,5500 26,8097
2017-11-11 No DATA
2017-11-12 No DATA
2017-11-13 26,5500 26,8097
2017-11-14 26,5000 26,8097
2017-11-15 26,5000 26,8817
2017-11-16 26,5000 26,8817
2017-11-17 26,5500 26,8817
2017-11-18 No DATA
2017-11-19 No DATA
2017-11-20 26,5000 26,8817
2017-11-21 26,5000 26,8097
2017-11-22 26,6500 26,9542
2017-11-23 26,7000 27,0270
2017-11-24 26,7500 27,0270
2017-11-25 No DATA
2017-11-26 No DATA
2017-11-27 26,7000 27,0270
2017-11-28 26,7000 27,0270
2017-11-29 26,9000 27,1739
2017-11-30 26,9500 27,2480
2017-12-01 26,9500 27,2480
2017-12-02 No DATA
2017-12-03 No DATA
2017-12-04 27,0500 27,3224
2017-12-05 27,0000 27,2480
2017-12-06 27,0500 27,2480
2017-12-07 27,0500 27,2480
2017-12-08 27,0500 27,2480
2017-12-09 No DATA
2017-12-10 No DATA
2017-12-11 27,1000 27,3224
2017-12-12 27,2000 27,3973
2017-12-13 27,1500 27,7008
2017-12-14 27,3000 27,8552
2017-12-15 27,6500 28,0112
2017-12-16 No DATA
2017-12-17 No DATA
2017-12-18 27,8000 28,2486
2017-12-19 27,8000 28,2486
2017-12-20 27,7000 28,1690
2017-12-21 No DATA
2017-12-22 27,7500 28,0899
2017-12-23 No DATA
2017-12-24 No DATA
2017-12-25 No DATA
2017-12-26 27,7500 28,0899
2017-12-27 27,7000 28,0112
2017-12-28 27,8000 28,1690
2017-12-29 27,8000 28,1690
2017-12-30 27,9000 28,3286
2017-12-31 27,9000 28,3286
2018-01-01 No DATA
